C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2021-02-15T00:00:00Z,0.17635752260684967,0.7441786527633667,0.51402598441015,0.17405545246448995,810,,,,,
2021-02-25T00:00:00Z,0.1413911134004593,0.5398417115211487,0.368656725464044,0.11298311870076685,810,,,,,
2021-03-02T00:00:00Z,0.14674220979213715,0.6394805312156677,0.43615215680113567,0.13746461836333262,810,,,,,
2021-03-07T00:00:00Z,0.1803041249513626,0.6241685152053833,0.437787319039121,0.13071287975372284,810,,,,,
2021-03-27T00:00:00Z,0.14537036418914795,0.6210407018661499,0.43179969517169176,0.13461198194906002,810,,,,,
2021-04-01T00:00:00Z,0.12465628236532211,0.6627848148345947,0.4488704775126624,0.1575789182236873,810,,,,,
2021-04-11T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-04-21T00:00:00Z,0.08764044940471649,0.33069828152656555,0.15947221666574474,0.05330551784519361,810,730,,,,
2021-04-26T00:00:00Z,0.162222221493721,0.8362623453140259,0.595702199122789,0.22194072218066213,810,,,,,
2021-05-06T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-05-11T00:00:00Z,0.13844777643680573,0.8809298872947693,0.6501316753250589,0.2473182929132012,810,,,,,
2021-05-21T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-05-26T00:00:00Z,0.14563848078250885,0.9187061190605164,0.6668459334675172,0.24824554700162313,810,,,,,
2021-05-31T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-06-05T00:00:00Z,0.16025641560554504,0.9243438839912415,0.6486606909720984,0.21300604582622365,810,,,,,
2021-06-10T00:00:00Z,0.24194952845573425,0.7322951555252075,0.48795654827061963,0.11028648263818618,810,,,,,
2021-06-15T00:00:00Z,0.29756098985671997,0.8763759732246399,0.576994693744769,0.13831016520045014,810,221,,,,
2021-06-20T00:00:00Z,0.1989806741476059,0.9428671002388,0.537079925393616,0.17628205711930162,810,,,,,
2021-06-25T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-06-30T00:00:00Z,0.2140718549489975,0.8745203614234924,0.45659401107717457,0.17570443776416736,810,,,,,
2021-07-05T00:00:00Z,0.2869614064693451,0.7535321712493896,0.5356333994052629,0.1219463956662319,810,766,,,,
2021-07-10T00:00:00Z,0.1754845529794693,0.9090219736099243,0.417342903768575,0.2224825627913125,810,,,,,
2021-07-15T00:00:00Z,0.18630079925060272,0.8697017431259155,0.3890758909377052,0.19675266348086728,810,,,,,
2021-07-20T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-07-25T00:00:00Z,0.2921810746192932,0.8523829579353333,0.5193845794524673,0.17279622770053307,810,,,,,
2021-07-30T00:00:00Z,0.21349772810935974,0.866493821144104,0.46570921451957126,0.2148156283614623,810,,,,,
2021-08-04T00:00:00Z,0.17954610288143158,0.9019442200660706,0.436714472851636,0.2329511814095093,810,,,,,
2021-08-09T00:00:00Z,0.1698571890592575,0.8810834884643555,0.40789195407687906,0.21967698151469725,810,,,,,
2021-08-14T00:00:00Z,0.18598540127277374,0.8773670196533203,0.3806617865039976,0.20781874907494752,810,,,,,
2021-08-19T00:00:00Z,0.18198417127132416,0.9145413637161255,0.3633088255002177,0.21321761639706274,810,,,,,
2021-09-03T00:00:00Z,0.189964160323143,0.9070191383361816,0.372209053054268,0.22551740523000485,810,,,,,
2021-09-13T00:00:00Z,0.19185490906238556,0.8814172148704529,0.3674301083809062,0.2054579206384848,810,,,,,
2021-09-18T00:00:00Z,0.0647391602396965,0.5469301342964172,0.24916892182646358,0.14660976737700163,810,711,,,,
2021-09-23T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-10-03T00:00:00Z,0.1782996952533722,0.886845052242279,0.4161108297882257,0.1813610060979895,810,,,,,
2021-10-18T00:00:00Z,NaN,NaN,NaN,NaN,810,810,,,,
2021-10-28T00:00:00Z,0.17617866396903992,0.7493857741355896,0.44845075936597134,0.14932787783492368,810,,,,,
2021-11-07T00:00:00Z,0.03179876506328583,0.31727319955825806,0.1770339042941729,0.07249449463826727,810,660,,,,
2021-11-12T00:00:00Z,0.09960159659385681,0.5208672285079956,0.2779817609691321,0.09284580212783981,810,,,,,
2021-11-27T00:00:00Z,0.17672887444496155,0.7894989252090454,0.46953625559438866,0.14490984450265612,810,,,,,
2021-12-02T00:00:00Z,0.14852753281593323,0.4503067433834076,0.234107840815444,0.05603067840107755,810,,,,,
2021-12-22T00:00:00Z,0.13730743527412415,0.48514851927757263,0.23905092545865508,0.08035261640722195,810,,,,,
2022-01-16T00:00:00Z,-0.04176003113389015,0.12490594387054443,0.00287533061851762,0.035487650913651705,810,,,,,
2022-01-31T00:00:00Z,0.0684596598148346,0.2868020236492157,0.14592520603607861,0.04297341669506484,810,132,,,,
2022-02-10T00:00:00Z,0.1637885868549347,0.5455950498580933,0.3058903942505514,0.10228057461874342,810,,,,,
2022-02-15T00:00:00Z,0.11720983684062958,0.47289973497390747,0.23433834233401724,0.08694996180318504,810,,,,,
2022-02-25T00:00:00Z,0.12591686844825745,0.5309352278709412,0.25812296081840275,0.1006727796438402,810,,,,,
2022-03-02T00:00:00Z,0.161477193236351,0.3370242118835449,0.22578986274239454,0.03538291017298369,810,,,,,
2022-03-12T00:00:00Z,0.14447949826717377,0.5395157337188721,0.2785410238820826,0.10262126395195725,810,,,,,
